"_id","price_start","price_end","house_area","flats_property_i","city_i","area_i","place_i","shi","ting","wei","floor_i","floor_zhu_i","lng","lat","deposit_ya","deposit_pay","s_jsf","s_gycs","s_znms","s_atm","s_dskd","s_zskf","s_fjqj","s_24hba","s_bjwx","s_sqhd","c_chuang","c_yigui","c_shuzhuo","c_kongtiao","c_canzhuo","c_nuanqi","c_tv","c_ranqi","c_wbl","c_dcl","c_rsq","c_xyj","c_bx","c_wifi","c_sf","c_cg","c_yyj","update_time_i"
5900,26000,26000,183,2,4,12,130,3,2,2,32,26,116.4803900000,39.9330100000,1,3,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1495296000
5901,2750,2750,25,2,4,12,96,3,1,1,25,13,116.4236200000,40.0365600000,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1495382400
5902,1650,1650,13,2,4,14,103,4,1,1,25,7,116.4605400000,39.9043500000,1,3,1,1,0,1,0,1,1,0,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,1,1,1494950400
5903,5000,5000,80,2,4,11,85,3,1,1,18,8,116.3783500000,40.0792500000,1,3,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1494000000
5943,1260,1260,13,1,4,16,93,3,1,1,25,10,116.2916000000,39.7239300000,1,3,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1495382400
5944,2480,2480,25,1,4,11,79,3,1,1,33,13,116.3097900000,40.0687400000,1,3,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1494864000
5945,2090,2090,19,1,4,15,81,3,1,1,15,10,116.2308400000,40.0811000000,1,3,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1495123200
5946,1790,1790,13,1,4,15,87,3,1,1,9,7,116.3159600000,40.0241800000,1,3,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1496678400
5947,1890,1890,26,1,4,15,81,3,1,1,11,5,116.2564400000,40.0555200000,1,3,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1496764800
5954,1750,1750,13,1,4,14,80,4,1,1,25,4,116.6388710000,39.8883220000,1,3,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,1,1,1496764800
5960,5000,5000,20,2,4,11,85,2,1,1,18,7,116.3783500000,40.0792500000,1,3,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1494000000
5961,1480,1480,16,1,4,16,93,3,1,1,19,10,116.2916000000,39.7239300000,1,3,1,1,0,1,0,1,1,0,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,1,1,1494691200
5962,1500,1500,17,1,4,11,101,2,1,1,6,2,116.4140800000,40.0836400000,1,3,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1495036800
5996,2200,2200,22,1,4,12,132,3,1,1,24,2,116.4375100000,39.9883600000,1,3,0,0,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1496592000
5997,1450,1450,20,1,4,11,85,3,1,1,18,10,116.3783500000,40.0792500000,1,3,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1495900800
5998,1690,1690,16,1,4,12,96,3,1,1,11,4,116.4140800000,40.0836400000,1,3,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1496332800
5999,1230,1230,12,1,4,16,93,3,1,1,25,22,116.2916000000,39.7239300000,1,3,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1495123200
6000,1300,1300,13,1,4,15,81,3,1,1,13,6,116.2564400000,40.0555200000,1,3,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1494950400
6001,3000,3000,80,2,4,11,123,2,1,1,20,10,116.2948500000,40.1513300000,1,3,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1496851200
6002,4500,4500,35,2,4,13,190,1,1,1,21,16,116.2933200000,39.8354900000,1,3,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1496851200
6003,2400,2400,32,1,4,11,85,3,1,2,15,6,116.3097600000,40.0670400000,1,3,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1495987200
6004,1450,1450,15,1,4,12,132,3,1,1,28,24,116.4372900000,39.9834400000,1,3,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1496505600
6005,950,950,19,1,4,11,74,3,1,2,6,3,116.4666500000,40.1183200000,1,3,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1496505600
6006,5300,5300,85,2,4,15,81,3,1,1,10,2,116.2564400000,40.0555200000,1,3,0,1,0,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1495036800
6007,2280,2280,20,1,4,15,98,2,1,1,34,12,116.3167000000,40.0614900000,1,3,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1496764800
